MAIN.PRIVATE_GAME	Özel Oyun
MAIN.PUBLIC_GAME	Açık Oyun
MAIN.JOIN_FRIEND	Arkadaşına Katıl
MAIN.SINGLEPLAYER	Tek Oyunculu
MAIN.TUTORIAL	Öğretici
MAIN.SETTINGS	Ayarlar
MAIN.QUIT_GAME	Oyundan Çık
POPUP.PRIVATE_GAME.HEADER	Oyun Kur
POPUP.PRIVATE_GAME.BODY	En iyi bilgisayara sahip olan arkadaş\noyunu kurmalı.\n\nO arkadaş sen misin?
POPUP.PRIVATE_GAME.OPT1	Haha evet!  :)
POPUP.PRIVATE_GAME.OPT2	Ben değilim...  :'(
POPUP.PUBLIC_GAME.HEADER	Uyarı
POPUP.PUBLIC_GAME.BODY	Rastgele oyuncularla oynarken hilecilere veya gerçekten kaba insanlara denk gelebilirsin...
POPUP.PUBLIC_GAME.OPT1	Anladım
POPUP.PUBLIC_GAME.OPT2	Almayayım :(
POPUP.QUIT_GAME.HEADER	Oyundan Çık
POPUP.QUIT_GAME.BODY	Uygulamanın tamamı kapatılsın mı?
POPUP.QUIT_GAME.OPT1	Evet
POPUP.QUIT_GAME.OPT2	Hayır
POPUP.SELF_DESTRUCT.HEADER	Kendini İmha Et
POPUP.SELF_DESTRUCT.BODY	Gerçekten öyle mi?
POPUP.SELF_DESTRUCT.OPT1	Benim için burası son... 
POPUP.SELF_DESTRUCT.OPT2	Hayır
SAVES.GO_BACK	< Geri Git
SAVES.NEW_GAME	Yeni Oyun
SAVES.SINGLEPLAYER_MODE	Tek Oyunculu Mod
SAVES.MULTIPLAYER_MODE	Çok Oyunculu Mod
SAVES.HEADER	Kayıtlı Oyunlar
SAVES.PAGE_INFO.HEADER	Kayıtlı Oyunlar
SAVES.PAGE_INFO.DESCRIPTION	İşte yaşadığın tüm eğlence ve tam kaldığın yerden devam etme fırsatı.
SAVES.SAVE_INFO.DELETE_SAVE	Kaydı Sil
SAVES.SAVE_INFO.LOAD_SAVE	Kaydı Yükle
SAVES.SAVE_INFO.USE_BACKUP	Yedeği Kullan
SAVES.SAVE_INFO.CURRENT_MOON	Mevcut Ay:
POPUP.MAIN_MENU.OPT1	Evet
POPUP.MAIN_MENU.BODY	Ana menüye dönülsün mü?
POPUP.MAIN_MENU.HEADER	Ana Menü
SAVES.SAVE_INFO.TOTAL_HAUL	Toplam Ganimet: <sprite=0>
POPUP.LOAD_SAVE.HEADER	Kaydı Yükle
POPUP.LOAD_SAVE.BODY	Bu kayıt dosyası yüklensin mi?
POPUP.LOAD_SAVE.OPT1	Evet!
POPUP.LOAD_SAVE.OPT2	Hayır
POPUP.DELETE_SAVE.HEADER	Kaydı Sil
POPUP.DELETE_SAVE.BODY	Bu kaydı SONSUZA DEK silmek istediğinden GERÇEKTEN EMİN MİSİN?
POPUP.DELETE_SAVE.OPT1	Evet! :')
POPUP.DELETE_SAVE.OPT2	Hayır...
POPUP.USE_BACKUP.HEADER	Yedekten Geri Yükle
POPUP.USE_BACKUP.BODY	Bu kayıt dosyasının üzerine en son yedek yazılsın mı?\n\nBu işlem geri alınamaz!
POPUP.USE_BACKUP.OPT1	Evet!
POPUP.USE_BACKUP.OPT2	Hayır
REGIONS.HEADER	Bölgeler
REGIONS.BACK	Geri
REGIONS.REGION.PICK_BEST_REGION	En İyi Bölgeyi Seç
REGIONS.REGION.TR	Türkiye
REGIONS.REGION.ASIA	Asya
REGIONS.REGION.AU	Avusturalya
REGIONS.REGION.CAE	Doğu Kanada
REGIONS.REGION.CN	Çin Yarımadası
REGIONS.REGION.EU	Avrupa
REGIONS.REGION.HK	Hong Kong
REGIONS.REGION.IN	Hindistan
REGIONS.REGION.JP	Japonya
REGIONS.REGION.ZA	Güney Afrika
REGIONS.REGION.SA	Güney Amerika
REGIONS.REGION.KR	Güney Kore
REGIONS.REGION.UAE	Birleşik Arap Emirlikleri
REGIONS.REGION.US	Doğu ABD
REGIONS.REGION.USW	Batı ABD
REGIONS.REGION.USSC	Güney ABD Merkezi
SAVES.SAVE_INFO.SORRY	Üzgünüm!
SAVES.SAVE_INFO.PRESS_DELETE	'Kayıtları sil' tuşuna basarak \ntüm kayıtları silebilirsiniz.
SAVES.SAVE_INFO.PLAYER_LIST	oyuncu:listesi:{}|,   |   ve   }
SAVES.SAVE_INFO.CORRUPTED_SAVE_FILE	Bozuk Kayıt Dosyası
SAVES.SAVE_FILE.UH_OH	Ah Oh!
SAVES.SAVE_FILE.CORRUPTED_SAVE_FILE	Bozuk Kayıt Dosyası
SAVES_RENAME.RENAME_SAVE	Kaydı Yeniden Adlandır
SAVES_RENAME.BACK	Geri
SAVES_RENAME.CONFIRM	Onayla
SAVES.SAVE_INFO.CLICK_TO_RENAME	(Yeniden Adlandırmak İçin Tıkla)
SETTINGS.HEADER	Ayarlar
SETTINGS.GAMEPLAY	Oynanış
SETTINGS.GRAPHICS	Grafik
SETTINGS.AUDIO	Ses
SETTINGS.CONTROLS	Kontroller
SETTINGS.LANGUAGE	Dil
SETTINGS.BACK	Geri
SETTINGS.BOOL.ON	Açık
SETTINGS.BOOL.OFF	Kapalı
SETTINGS.BOOL.TOGGLE	Bas-Çek
SETTINGS.GAMEPLAY.HEADER	Oynanış
SETTINGS.GAMEPLAY.RESET_TO_DEFAULT_SETTINGS	Varsayılan Ayarlara Sıfırla
SETTINGS.BOOL.HOLD	Basılı Tut
SETTINGS.GAMEPLAY.TIPS	İpuçları
SETTINGS.GAMEPLAY.PLAYER_NAMES	Oyuncu İsimleri
SETTINGS.GAMEPLAY.PHOTOSENSITIVITY	Işığa Duyarlılık
SETTINGS.GAMEPLAY.ARACHNOPHOBIA	Araknofobi
SETTINGS.GAMEPLAY.AIM_SENSITIVITY	Nişan Hassasiyeti
SETTINGS.GAMEPLAY.CAMERA_SMOOTHING	Kamera Yumuşatma
SETTINGS.GAMEPLAY.CAMERA_SHAKE	Kamera Sarsıntısı
SETTINGS.GAMEPLAY.CAMERA_NOISE	Kamera Paraziti
SETTINGS.GAMEPLAY.CAMERA_ANIMATION	Kamera Animasyonu
SETTINGS.GAMEPLAY.INVERT_VERICAL_AIM	Dikey Nişanı Ters Çevir
SETTINGS.GAMEPLAY.RICH_PRESENCE	Zengin Varlık
SETTINGS.GAMEPLAY.COSMETICS	Kozmetikler
SETTINGS.GRAPHICS.WINDOW_MODE	Pencere Modu
SETTINGS.GRAPHICS.VSYNC	Dikey Senkronizasyon
SETTINGS.GRAPHICS.GAMMA	Parlaklık
SETTINGS.GRAPHICS.MAX_FPS	En yüksek SKH
SETTINGS.GRAPHICS.LIGHT_DISTANCE	Işık mesafesi
SETTINGS.GRAPHICS.MOTION_BLUR	Hareket Bulanıklığı
SETTINGS.GRAPHICS.BLOOM	Işık Parlaması
LOADING.LOADING	Yükleniyor...
LOADING.STUCK_PROMPT_TOP_TEXT	Yüklemede mi takıldın?
LOADING.STUCK_PROMPT_BOTTOM_TEXT	Ana menüye dönmek için [menu] tuşuna bas
LOBBY.HEADER	Lobi
LOBBY.CHAT_PROMPT	Sohbet etmek için [chat] tuşuna bas
LOBBY.START_GAME	Oyunu Başlat
LOBBY.INVITE	Davet Et
LOBBY.LEAVE	Ayrıl
SETTINGS.CONTROLS.MOVE_FORWARD	İleri Git
SETTINGS.CONTROLS.MOVE_LEFT	Sola Git
SETTINGS.CONTROLS.MOVE_BACK	Geri Git
SETTINGS.CONTROLS.MOVE_RIGHT	Sağa Git
SETTINGS.CONTROLS.JUMP	Zıpla
SETTINGS.CONTROLS.CROUCH	Eğil
SETTINGS.CONTROLS.SPRINT	Depar
SETTINGS.CONTROLS.TUMBLE	Takla At
SETTINGS.CONTROLS.GRABBING	Yakalama
SETTINGS.CONTROLS.GRAB	Yakalama
SETTINGS.CONTROLS.ROTATE	Döndür
SETTINGS.CONTROLS.PUSH	İt
SETTINGS.CONTROLS.PULL	Çek
SETTINGS.CONTROLS.OTHER	Diğer
SETTINGS.CONTROLS.MAP	Harita
SETTINGS.CONTROLS.INTERACT	Etkileşim
SETTINGS.CONTROLS.INVENTORY_1	Envanter 1
SETTINGS.CONTROLS.INVENTORY_2	Envanter 2
SETTINGS.CONTROLS.INVENTORY_3	Envanter 3
SETTINGS.CONTROLS.CHAT	Sohbet
SETTINGS.CONTROLS.CONFIRM	Onayla
SETTINGS.CONTROLS.BACK	Geri
SETTINGS.CONTROLS.MENU	Menü
SETTINGS.CONTROLS.SPECTATE_NEXT	Sonraki İzleyici
SETTINGS.CONTROLS.SPECTATE_PREVIOUS	Önceki İzleyici
SETTINGS.CONTROLS.PUSH_TO_TALK	Bas Konuş
SETTINGS.CONTROLS.TOGGLE_MUTE	Bas Sustur
SETTINGS.CONTROLS.PLAYER_EXPRESSIONS	Oyuncu İfadeleri
SETTINGS.LANGUAGE.HEADER	Dil
COSMETICS.CATEGORY.PRESETS	Hazır Ayarlar
COSMETICS.CATEGORY.HEAD	Kafa
COSMETICS.CATEGORY.ARMS	Kollar
COSMETICS.CATEGORY.BODY	Gövde
COSMETICS.CATEGORY.LEGS	Bacaklar
COSMETICS.CONFIRM	Onayla
COSMETICS.COLOR.HEADER	Renk Seç
COSMETICS.COLOR.CONFIRM	Onayla
COSMETICS.PRESET.DELETE	Sil
COSMETICS.TYPE.HAT	Şapka
COSMETICS.TYPE.ARM_RIGHT	Sağ Kol Aksesuarı
COSMETICS.TYPE.ARM_LEFT	Sol Kol Aksesuarı
