BIG_MESSAGE.EXTRACTION.ACTIVATED	Çıkarma noktası aktif edildi
BIG_MESSAGE.EXTRACTION.COMPLETED	Çıkarma noktası tamamlandı
FOCUS.EXTRACTION.FILL_VALUABLES	Çıkarma noktasını ganimetlerle doldur
FOCUS.EXTRACTION.AVOID_GRENADES	Bombalardan kaçın!
FOCUS.EXTRACTION.FIND_NEXT	Bir sonraki çıkarma noktasını bul
FOCUS.EXTRACTION.BACK_TO_TRUCK	Kamyona geri dön!
TUTORIAL.TRANSITION_TEXT	Harika iş!
TUTORIAL.MOVEMENT.TEXT	Hareket etmek için [move] komutunu kullan.
TUTORIAL.MOVEMENT.FOCUS_TEXT	İlerleme çubuğunu doldurmak için hareket et!
TUTORIAL.MOVEMENT.DUMMY_TEXT	İlerleme çubuğu dolana kadar klavyendeki [move] komutunu kullan!
TUTORIAL.JUMPING.TEXT	Zıplamak için [jump] tuşuna bas.
TUTORIAL.JUMPING.FOCUS_TEXT	İlerleme çubuğunu doldurmak için zıpla!
TUTORIAL.JUMPING.DUMMY_TEXT	İlerleme çubuğu dolana kadar [jump] tuşuna basarak zıplamaya devam et!
TUTORIAL.SNEAKING.TEXT	Gizlenmek için [crouch] tuşuna bas. Canavarların seni görme ihtimali azalır.
TUTORIAL.SNEAKING.FOCUS_TEXT	İlerleme çubuğunu doldurmak için gizlen!
TUTORIAL.SNEAKING.DUMMY_TEXT	İlerleme çubuğu dolana kadar [crouch] tuşunu basılı tut ve [move] komutunu kullan!
TUTORIAL.HIDING.TEXT	Bir şeylerin altına gizlenmek ve saklanmak için [crouch] kullan.
TUTORIAL.HIDING.FOCUS_TEXT	İlerleme çubuğunu doldurmak için saklan!
TUTORIAL.HIDING.DUMMY_TEXT	[crouch] tuşunu basılı tutarak bir eşyanın altına gir ve ilerleme çubuğu dolana kadar orada bekle!
TUTORIAL.SPRINTING.TEXT	Depar atmak için [sprint] tuşunu basılı tut. Bu enerji tüketir.
TUTORIAL.SPRINTING.FOCUS_TEXT	İlerleme çubuğunu doldurmak için depar at!
TUTORIAL.SPRINTING.DUMMY_TEXT	İlerleme çubuğunu doldurana kadar [sprint] tuşunu basılı tut ve [move] komutunu kullan!
TUTORIAL.TUMBLING.TEXT	Koş ve tarzla düşmek için [tumble] tuşuna bas. Zıplamak da işe yarar!
TUTORIAL.TUMBLING.FOCUS_TEXT	İlerleme çubuğunu doldurmak için koş, zıpla ve düş!
TUTORIAL.TUMBLING.DUMMY_TEXT	[sprint] ile koş, [jump] ile zıpla ve kendini fırlatmak için [tumble] tuşuna bas. İlerleme çubuğu dolana kadar bunu yap!
TUTORIAL.GRABBING.TEXT	Nesneleri [grab] kullanarak yakala.
TUTORIAL.GRABBING.FOCUS_TEXT	İlerleme çubuğunu doldurmak için o nesneyi taşı!
TUTORIAL.GRABBING.DUMMY_TEXT	İlerleme çubuğunu doldurana kadar bir nesnenin üzerinde [grab] tuşunu basılı tut!
TUTORIAL.PUSHING_AND_PULLING.TEXT	Yakalanan nesnelerin mesafesini ayarlamak için [push] kullan.
TUTORIAL.PUSHING_AND_PULLING.FOCUS_TEXT	Yakalanan nesnenin mesafesini değiştir!
TUTORIAL.PUSHING_AND_PULLING.DUMMY_TEXT	Bir nesne üzerinde [grab] tuşunu basılı tut ve yakaladığın nesnenin mesafesini ayarlamak için [push] kullan!
TUTORIAL.ROTATING.TEXT	[grab2] kullanarak yakalanan nesneleri döndür.
TUTORIAL.ROTATING.FOCUS_TEXT	İlerleme çubuğunu doldurmak için nesneleri döndür!
TUTORIAL.ROTATING.DUMMY_TEXT	[grab] ile bir nesneyi tutarken, [grab2] tuşunu basılı tut ve döndürmek için nişanını hareket ettir. İlerleme çubuğu dolana kadar döndür!
TUTORIAL.ITEM_TOGGLING.TEXT	Eşyaları açıp kapatmak için yakala ve [interact] tuşuna bas.
TUTORIAL.ITEM_TOGGLING.FOCUS_TEXT	O nesneyi açıp kapat!
TUTORIAL.ITEM_TOGGLING.DUMMY_TEXT	[grab] ile topu yakala ve ilerleme çubuğu dolana kadar [interact] kullanarak onu açıp kapat!
TUTORIAL.INVENTORY_FILL.TEXT	Bir eşyayı yakala ve envanterine koymak için [inventory1]/[inventory2]/[inventory3] tuşlarını kullan.
TUTORIAL.INVENTORY_FILL.FOCUS_TEXT	Tüm envanterini doldur!
TUTORIAL.INVENTORY_FILL.DUMMY_TEXT	[grab] ile bir eşya tutarken [inventory1]/[inventory2]/[inventory3] tuşlarına bas. İlerleme çubuğunu tamamlamak için envanterindeki tüm boşlukları doldur!
TUTORIAL.INVENTORY_EMPTY.TEXT	Eşyaları envanterinden çıkarmak için [inventory1]/[inventory2]/[inventory3] tuşlarını kullan.
TUTORIAL.INVENTORY_EMPTY.FOCUS_TEXT	Tüm envanterini boşalt!
TUTORIAL.INVENTORY_EMPTY.DUMMY_TEXT	[inventory1]/[inventory2]/[inventory3] tuşlarını kullan ve ilerleme çubuğunu doldurmak için tüm boşlukları boşalt!
TUTORIAL.MAP.TEXT	Haritayı görüntülemek için [map] tuşunu kullan. Harita yön bulma için <b><u>ÖNEMLİDİR</u></b>.
TUTORIAL.MAP.FOCUS_TEXT	Haritayı kontrol et!
TUTORIAL.MAP.DUMMY_TEXT	[map] tuşunu basılı tut ve ilerleme çubuğunu doldurana kadar haritaya bak!
TUTORIAL.CART_HANDLING_1.TEXT	Bu bir S.E.P.E.T. Onu tutamağından yakala.
TUTORIAL.CART_HANDLING_1.FOCUS_TEXT	S.E.P.E.T. ile biraz etrafta dolaş!
TUTORIAL.CART_HANDLING_1.DUMMY_TEXT	S.E.P.E.T.'i [grab] ile tutamağından yakala ve ilerleme çubuğunu doldurana kadar onunla etrafta dolaş!
TUTORIAL.CART_HANDLING_2.TEXT	S.E.P.E.T.'i ganimetlerle doldur. S.E.P.E.T.'ler daha fazla eşya taşımak için <b><u>ÖNEMLİDİR</u></b>.
TUTORIAL.CART_HANDLING_2.FOCUS_TEXT	S.E.P.E.T.'i ganimetlerle doldur!
TUTORIAL.CART_HANDLING_2.DUMMY_TEXT	S.E.P.E.T.'in içine üç eşya koy.
TUTORIAL.EXTRACTION_POINTS.TEXT	<b><u>ÇIKARMA NOKTALARINI</u></b> aktif et ve ganimetlerle doldur.
TUTORIAL.EXTRACTION_POINTS.FOCUS_TEXT	Ganimetleri çıkar!
TUTORIAL.EXTRACTION_POINTS.DUMMY_TEXT	MERHABA!
TUTORIAL.EXTRACTION_POINTS.DUMMY_TEXT	<b><u>ÇIKARMA NOKTASINI</u></b> GANİMETLERLE DOLDUR!
TUTORIAL.TRUCK.TEXT	Bölümden ayrılmak için <b><u>KAMYONA</u></b> gir ve patronuna bir mesaj gönder.
TUTORIAL.TRUCK.FOCUS_TEXT	Kamyona gir ve bir mesaj gönder!
TUTORIAL.TRUCK.DUMMY_TEXT	Kamyonun içine yürü, bir mesaj göndermek için kamyon ekranındaki mesaj alanını [grab] ile yakala ve basılı tut!
TUTORIAL.HEALING.TEXT	Diğer oyuncuların boyunlarını yakalayarak canınızı onlarla paylaşın!
TUTORIAL.REVIVING.TEXT	Diğer oyuncuların kafalarını çıkartarak onları canlandırın!
TUTORIAL.CHARGING_STATION.TEXT	Ekipmanınızı şarj etmek ve onarmak için <b><u>ŞARJ İSTASYONUNA</u></b> <b><u>GÜÇ KRİSTALLERİ</u></b> satın alın!
